Plant name:,Soil moisture level,Nitrogen level,Soil compaction,Soil type,Soil temp,Best time to plant,Best time to harvest,Best climate
Pumpkins,"Pumpkins prefer consistent soil moisture, but don't like to be waterlogged.",Pumpkins require a moderate amount of nitrogen.,"Pumpkins prefer well-drained, loose soil.","Pumpkins prefer well-drained, fertile soil.",Pumpkins prefer soil temperatures between 70-95F (21-35C) for optimal growth.,Pumpkins are warm-season plants and should be planted after the last frost in the spring.,Pumpkins are typically harvested when they have reached their full size and the stem has started to dry out.,"Pumpkins prefer warm, sunny climates with consistent moisture."
Sunflowers,"Sunflowers prefer consistent soil moisture, but can tolerate drought.",Sunflowers require a moderate amount of nitrogen.,"Sunflowers prefer well-drained, loose soil.","Sunflowers prefer well-drained, fertile soil.",Sunflowers prefer soil temperatures between 70-78F (21-26C) for optimal growth.,Sunflowers are warm-season plants and should be planted after the last frost in the spring.,Sunflowers are typically harvested when the back of the flower head turns yellow and the seeds are plump.,"Sunflowers prefer warm, sunny climates with consistent moisture."
Wheat,"Wheat prefers consistent soil moisture, but can tolerate drought.",Wheat requires a moderate amount of nitrogen.,"Wheat prefers well-drained, loose soil.","Wheat prefers well-drained, fertile soil.",Wheat prefers soil temperatures between 60-70F (15-21C) for optimal growth.,Wheat is a cool-season crop and should be planted in the fall.,Wheat is typically harvested when the heads are fully ripe and the stems have turned yellow.,Wheat prefers cooler climates with consistent moisture.
Soybeans,"Soybeans prefer consistent soil moisture, but can tolerate drought.",Soybeans are nitrogen-fixing plants and can improve soil fertility.,"Soybeans prefer well-drained, loose soil.","Soybeans prefer well-drained, fertile soil.",Soybeans prefer soil temperatures between 60-86F (15-30C) for optimal growth.,Soybeans are warm-season plants and should be planted after the last frost in the spring.,Soybeans are typically harvested when the pods have turned yellow or brown and the seeds are hard.,"Soybeans prefer warm, sunny climates with consistent moisture."
Rice,Rice requires a lot of water and prefers consistently flooded soil.,Rice requires a high amount of nitrogen.,"Rice prefers well-drained, fertile soil.",Rice prefers clayey soils that can retain water.,Rice prefers warm soil temperatures between 68-104F (20-40C) for optimal growth.,Rice is typically planted in the spring.,Rice is typically harvested in the fall when the grains have ripened and turned golden brown.,"Rice prefers warm, humid climates with consistent moisture."
Barley,"Barley prefers consistent soil moisture, but can tolerate drought.",Barley requires a moderate amount of nitrogen.,"Barley prefers well-drained, loose soil.","Barley prefers well-drained, fertile soil.",Barley prefers cooler soil temperatures between 50-68F (10-20C) for optimal growth.,Barley is a cool-season crop and can be planted in the fall or early spring.,Barley is typically harvested when the grain has ripened and turned golden brown.,Barley prefers cooler climates with consistent moisture.
Oats,"Oats prefer consistent soil moisture, but can tolerate drought.",Oats require a moderate amount of nitrogen.,"Oats prefer well-drained, loose soil.","Oats prefer well-drained, fertile soil.",Oats prefer cooler soil temperatures between 50-68F (10-20C) for optimal growth.,Oats are a cool-season crop and can be planted in the fall or early spring.,Oats are typically harvested when the grain has ripened and turned golden brown.,Oats prefer cooler climates with consistent moisture.
Canola,"Canola prefers consistent soil moisture, but can tolerate drought.",Canola requires a high amount of nitrogen.,"Canola prefers well-drained, loose soil.","Canola prefers well-drained, fertile soil.",Canola prefers cooler soil temperatures between 50-75F (10-24C) for optimal growth.,Canola is typically planted in the fall.,Canola is typically harvested when the seed pods have turned brown and the seeds are mature.,Canola prefers cooler climates with consistent moisture.
Cotton,"Cotton requires consistent soil moisture, but can tolerate drought.",Cotton requires a high amount of nitrogen.,"Cotton prefers well-drained, loose soil.","Cotton prefers well-drained, fertile soil.",Cotton prefers warm soil temperatures between 60-90F (15-32C) for optimal growth.,Cotton is typically planted in the spring.,Cotton is typically harvested in the fall when the bolls have opened and the fibers are mature.,"Cotton prefers warm, sunny climates with consistent moisture."
Tobacco,"Tobacco prefers consistent soil moisture, but can tolerate drought.",Tobacco requires a high amount of nitrogen.,"Tobacco prefers well-drained, loose soil.","Tobacco prefers well-drained, fertile soil.",Tobacco prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Tobacco is typically planted in the spring.,Tobacco is typically harvested when the leaves have matured and turned yellow.,"Tobacco prefers warm, humid climates with consistent moisture."
Almonds,Almonds prefer well-drained soil and can tolerate drought.,Almonds require a moderate amount of nitrogen.,"Almonds prefer well-drained, loose soil.","Almonds prefer well-drained, fertile soil.",Almonds prefer warm soil temperatures between 60-80F (15-27C) for optimal growth.,Almonds are typically planted in the fall or early spring.,Almonds are typically harvested when the hulls have split and the nuts have matured.,"Almonds prefer warm, sunny climates with low humidity."
Walnuts,"Walnuts prefer consistent soil moisture, but can tolerate drought.",Walnuts require a moderate amount of nitrogen.,"Walnuts prefer well-drained, loose soil.","Walnuts prefer well-drained, fertile soil.",Walnuts prefer mild to warm soil temperatures between 60-80F (15-27C) for optimal growth.,Walnuts are typically planted in the fall or early spring.,Walnuts are typically harvested when the nuts have fallen from the tree and the outer husk has split.,"Walnuts prefer mild, temperate climates with consistent moisture."
Pistachios,Pistachios prefer well-drained soil and can tolerate drought.,Pistachios require a moderate amount of nitrogen.,"Pistachios prefer well-drained, loose soil.","Pistachios prefer well-drained, fertile soil.",Pistachios prefer warm soil temperatures between 60-80F (15-27C) for optimal growth.,Pistachios are typically planted in the fall or early spring.,Pistachios are typically harvested when the nuts have fully matured and the hulls have split.,"Pistachios prefer warm, arid climates with low humidity."
Peaches,"Peaches prefer consistent soil moisture, but can tolerate drought.",Peaches require a moderate amount of nitrogen.,"Peaches prefer well-drained, loose soil.","Peaches prefer well-drained, fertile soil.",Peaches prefer warm soil temperatures between 60-80F (15-27C) for optimal growth.,Peaches are typically planted in the fall or early spring.,"Peaches are typically harvested when they have developed their characteristic color and aroma, and have a slight give when gently squeezed.","Peaches prefer warm, sunny climates with consistent moisture."
Pears,"Pears prefer consistent soil moisture, but can tolerate drought.",Pears require a moderate amount of nitrogen.,"Pears prefer well-drained, loose soil.","Pears prefer well-drained, fertile soil.",Pears prefer mild to cool soil temperatures between 60-70F (15-21C) for optimal growth.,Pears are typically planted in the fall or early spring.,"Pears are typically harvested when they have reached their full size and the skin has turned a characteristic color, but are still firm to the touch.","Pears prefer mild, temperate climates with consistent moisture."
Cherries,"Cherries prefer consistent soil moisture, but can tolerate drought.",Cherries require a moderate amount of nitrogen.,"Cherries prefer well-drained, loose soil.","Cherries prefer well-drained, fertile soil.",Cherries prefer mild to warm soil temperatures between 60-80F (15-27C) for optimal growth.,Cherries are typically planted in the fall or early spring.,Cherries are typically harvested when they have developed their characteristic color and have a slight give when gently squeezed.,"Cherries prefer mild, temperate climates with consistent moisture."
Oranges,"Oranges prefer consistent soil moisture, but can tolerate drought.",Oranges require a moderate amount of nitrogen.,"Oranges prefer well-drained, loose soil.","Oranges prefer well-drained, fertile soil.",Oranges prefer warm soil temperatures between 70-90F (21-32C) for optimal growth.,Oranges are typically planted in the fall or early spring.,Oranges are typically harvested when they have reached their full size and the skin has turned orange and firm to the touch.,"Oranges prefer warm, sunny climates with consistent moisture."
Lemons,"Lemons prefer consistent soil moisture, but can tolerate drought.",Lemons require a moderate amount of nitrogen.,"Lemons prefer well-drained, loose soil.","Lemons prefer well-drained, fertile soil.",Lemons prefer warm soil temperatures between 70-90F (21-32C) for optimal growth.,Lemons are typically planted in the fall or early spring.,Lemons are typically harvested when they have reached their full size and the skin has turned yellow and firm to the touch.,"Lemons prefer warm, sunny climates with consistent moisture."
Avocados,"Avocados prefer consistent soil moisture, but can tolerate drought.",Avocados require a moderate amount of nitrogen.,"Avocados prefer well-drained, loose soil.","Avocados prefer well-drained, fertile soil.",Avocados prefer warm soil temperatures between 60-85F (15-29C) for optimal growth.,Avocados are typically planted in the spring.,Avocados are typically harvested when the fruit has reached its full size and the skin has turned a characteristic color and gives slightly to gentle pressure.,"Avocados prefer warm, subtropical climates with consistent moisture."
Mangoes,"Mangoes prefer consistent soil moisture, but can tolerate drought.",Mangoes require a moderate amount of nitrogen.,"Mangoes prefer well-drained, loose soil.","Mangoes prefer well-drained, fertile soil.",Mangoes prefer warm soil temperatures between 70-90F (21-32C) for optimal growth.,Mangoes are typically planted in the spring.,Mangoes are typically harvested when the fruit has reached its full size and the skin has turned a characteristic color and gives slightly to gentle pressure.,"Mangoes prefer warm, tropical climates with consistent moisture."
Bananas,"Bananas prefer consistent soil moisture, but can tolerate drought.",Bananas require a high amount of nitrogen.,"Bananas prefer well-drained, loose soil.","Bananas prefer well-drained, fertile soil.",Bananas prefer warm soil temperatures between 75-85F (24-29C) for optimal growth.,Bananas are typically planted in the spring.,Bananas are typically harvested when they have reached their full size and the skin has turned yellow with brown spots.,"Bananas prefer warm, tropical climates with consistent moisture."
Pineapples,"Pineapples prefer consistent soil moisture, but can tolerate drought.",Pineapples require a moderate amount of nitrogen.,"Pineapples prefer well-drained, loose soil.","Pineapples prefer well-drained, fertile soil.",Pineapples prefer warm soil temperatures between 68-86F (20-30C) for optimal growth.,Pineapples are typically planted in the spring.,Pineapples are typically harvested when they have reached their full size and the skin has turned a characteristic color and the fruit gives slightly to gentle pressure.,"Pineapples prefer warm, tropical climates with consistent moisture."
Cauliflower,Cauliflower prefers consistently moist soil.,Cauliflower requires a moderate amount of nitrogen.,"Cauliflower prefers well-drained, loose soil.","Cauliflower prefers fertile, well-drained soil with a pH of 6.0-7.5.",Cauliflower prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Cauliflower is typically planted in the spring or fall.,Cauliflower is typically harvested when the head is firm and has reached its full size.,"Cauliflower prefers cool, temperate climates with consistent moisture."
Broccoli,"Broccoli prefers consistent soil moisture, but can tolerate drought.",Broccoli requires a moderate amount of nitrogen.,"Broccoli prefers well-drained, loose soil.","Broccoli prefers well-drained, fertile soil.",Broccoli prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,"Broccoli is typically planted in the fall for winter harvest, or in the spring for summer harvest.",Broccoli is typically harvested when the head is fully developed but still compact.,"Broccoli prefers cool, temperate climates with consistent moisture."
Cabbage,Cabbage prefers consistently moist soil.,Cabbage requires a moderate amount of nitrogen.,"Cabbage prefers well-drained, loose soil.","Cabbage prefers fertile, well-drained soil with a pH of 6.0-7.5.",Cabbage prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Cabbage is typically planted in the spring or fall.,Cabbage is typically harvested when the heads are firm and have reached their full size.,"Cabbage prefers cool, temperate climates with consistent moisture."
Brussels sprouts,Brussels sprouts prefer consistently moist soil.,Brussels sprouts require a moderate amount of nitrogen.,"Brussels sprouts prefer well-drained, loose soil.","Brussels sprouts prefer fertile, well-drained soil with a pH of 6.0-7.5.",Brussels sprouts prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Brussels sprouts are typically planted in mid- to late summer for a fall harvest.,Brussels sprouts are typically harvested after the sprouts have reached their full size and are firm to the touch.,"Brussels sprouts prefer cool, temperate climates with consistent moisture."
Celery,Celery prefers consistent soil moisture.,Celery requires a moderate amount of nitrogen.,"Celery prefers well-drained, loose soil.","Celery prefers well-drained, fertile soil.",Celery prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Celery is typically planted in the spring.,Celery is typically harvested when the stalks have reached their full size and are crisp and tender.,"Celery prefers cool, temperate climates with consistent moisture."
Spinach,"Spinach prefers consistent soil moisture, but can tolerate drought.",Spinach requires a moderate amount of nitrogen.,"Spinach prefers well-drained, loose soil.","Spinach prefers well-drained, fertile soil.",Spinach prefers cool soil temperatures between 50-70F (10-21C) for optimal growth.,"Spinach is typically planted in the fall for winter harvest, or in the spring for summer harvest.",Spinach is typically harvested when the leaves are large enough to be picked but still tender.,"Spinach prefers cool, temperate climates with consistent moisture."
Kale,"Kale prefers consistent soil moisture, but can tolerate drought.",Kale requires a moderate amount of nitrogen.,"Kale prefers well-drained, loose soil.","Kale prefers well-drained, fertile soil.",Kale prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,"Kale is typically planted in the fall for winter harvest, or in the spring for summer harvest.",Kale is typically harvested when the leaves are large enough to be picked but still tender.,"Kale prefers cool, temperate climates with consistent moisture."
Chard,"Chard prefers consistent soil moisture, but can tolerate drought.",Chard requires a moderate amount of nitrogen.,"Chard prefers well-drained, loose soil.","Chard prefers well-drained, fertile soil.",Chard prefers cool soil temperatures between 50-75F (10-24C) for optimal growth.,"Chard is typically planted in the fall for winter harvest, or in the spring for summer harvest.",Chard is typically harvested when the leaves are large enough to be picked but still tender.,"Chard prefers cool, temperate climates with consistent moisture."
Beets,Beets prefer consistent soil moisture.,Beets require a moderate amount of nitrogen.,"Beets prefer well-drained, loose soil.","Beets prefer well-drained, fertile soil.",Beets prefer cool soil temperatures between 55-75F (13-24C) for optimal growth.,Beets are typically planted in the spring or early summer.,"Beets are typically harvested when the roots have reached their full size, but can be left in the ground for a sweeter flavor.","Beets prefer cool, temperate climates with consistent moisture."
Radishes,"Radishes prefer consistent soil moisture, but can tolerate drought.",Radishes require a moderate amount of nitrogen.,"Radishes prefer well-drained, loose soil.","Radishes prefer well-drained, fertile soil.",Radishes prefer cool soil temperatures between 45-65F (7-18C) for optimal growth.,Radishes are typically planted in the spring or fall.,"Radishes are typically harvested when the roots have reached their full size, but can become woody if left in the ground too long.","Radishes prefer cool, temperate climates with consistent moisture."
Turnips,"Turnips prefer consistent soil moisture, but can tolerate drought.",Turnips require a moderate amount of nitrogen.,"Turnips prefer well-drained, loose soil.","Turnips prefer well-drained, fertile soil.",Turnips prefer cool soil temperatures between 50-65F (10-18C) for optimal growth.,Turnips are typically planted in the spring or fall.,"Turnips are typically harvested when the roots have reached their full size, but can become woody if left in the ground too long.","Turnips prefer cool, temperate climates with consistent moisture."
Peas,"Peas prefer consistent soil moisture, but can tolerate drought.",Peas require a high amount of nitrogen.,"Peas prefer well-drained, loose soil.","Peas prefer well-drained, fertile soil.",Peas prefer cool soil temperatures between 55-65F (13-18C) for optimal growth.,Peas are typically planted in the early spring.,Peas are typically harvested when the pods have filled out but are still tender.,"Peas prefer cool, temperate climates with consistent moisture."
Fava beans,"Fava beans prefer consistent soil moisture, but can tolerate drought.",Fava beans require a moderate amount of nitrogen.,"Fava beans prefer well-drained, loose soil.","Fava beans prefer well-drained, fertile soil.",Fava beans prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,"Fava beans are typically planted in the fall for winter harvest, or in the spring for summer harvest.",Fava beans are typically harvested when the pods have filled out but are still tender.,"Fava beans prefer cool, temperate climates with consistent moisture."
Asparagus,Asparagus prefers consistently moist soil.,Asparagus requires a moderate amount of nitrogen.,"Asparagus prefers well-drained, loose soil.","Asparagus prefers sandy, loamy soil.",Asparagus prefers soil temperatures between 50-70F (10-21C) for optimal growth.,Asparagus is typically planted in the early spring.,Asparagus is typically harvested when the spears are 6-8 inches tall and about the thickness of a pencil.,"Asparagus prefers cool, temperate climates with consistent moisture."
Artichokes,"Artichokes prefer consistent soil moisture, but can tolerate drought.",Artichokes require a high amount of nitrogen.,"Artichokes prefer well-drained, loose soil.","Artichokes prefer well-drained, fertile soil.",Artichokes prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,"Artichokes are typically planted in the fall for winter harvest, or in the spring for summer harvest.",Artichokes are typically harvested when the flower buds are firm and tight.,"Artichokes prefer cool, temperate climates with consistent moisture."
Garlic,Garlic prefers consistently moist soil.,Garlic requires a moderate amount of nitrogen.,"Garlic prefers loose, well-drained soil.","Garlic prefers fertile, well-drained soil with a pH of 6.0-7.0.",Garlic prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Garlic is typically planted in the fall.,Garlic is typically harvested when the leaves have yellowed and the bulbs have formed.,"Garlic prefers cool, temperate climates with consistent moisture."
Ginger,Ginger prefers consistent soil moisture.,Ginger requires a moderate amount of nitrogen.,"Ginger prefers loose, well-draining soil.","Ginger prefers fertile, loamy soil.",Ginger prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Ginger is typically planted in the early spring or late summer.,Ginger is typically harvested when the leaves begin to yellow and the stems begin to wither.,"Ginger prefers warm, tropical climates with consistent moisture."
Turmeric,Turmeric prefers consistent soil moisture.,Turmeric requires a moderate amount of nitrogen.,"Turmeric prefers loose, well-draining soil.","Turmeric prefers fertile, loamy soil.",Turmeric prefers warm soil temperatures between 70-95F (21-35C) for optimal growth.,Turmeric is typically planted in the spring.,Turmeric is typically harvested when the leaves begin to yellow and the stems begin to wither.,"Turmeric prefers warm, tropical climates with consistent moisture."
Tea leaves,"Tea plants prefer consistent soil moisture, but can tolerate drought.",Tea plants require a moderate amount of nitrogen.,"Tea plants prefer well-drained, loose soil.","Tea plants prefer well-drained, acidic soil.",Tea plants prefer warm soil temperatures between 60-70F (15-21C) for optimal growth.,Tea plants are typically planted in the spring or fall.,Tea leaves are typically harvested when they are young and tender.,"Tea plants prefer warm, humid climates with consistent moisture."
Coffee beans,Coffee plants prefer consistent soil moisture.,Coffee plants require a moderate amount of nitrogen.,"Coffee plants prefer well-drained, loose soil.","Coffee plants prefer well-drained, acidic soil.",Coffee plants prefer warm soil temperatures between 60-70F (15-21C) for optimal growth.,Coffee plants are typically planted in the spring.,Coffee beans are typically harvested when they are mature and dark red.,"Coffee plants prefer warm, humid climates with consistent moisture."
Celeriac,"Celeriac prefers consistent soil moisture, but can tolerate drought.",Celeriac requires a moderate amount of nitrogen.,"Celeriac prefers well-drained, loose soil.","Celeriac prefers well-drained, fertile soil.",Celeriac prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Celeriac is typically planted in the spring for fall harvest.,"Celeriac is typically harvested in the fall, when the roots are 3-4 inches in diameter.","Celeriac prefers cool, temperate climates with consistent moisture."
Jerusalem artichokes,Jerusalem artichokes prefer consistently moist soil.,Jerusalem artichokes require a moderate amount of nitrogen.,"Jerusalem artichokes prefer loose, well-drained soil.","Jerusalem artichokes prefer fertile, well-drained soil with a pH of 5.8-6.5.",Jerusalem artichokes prefer cool soil temperatures between 60-70F (15-21C) for optimal growth.,Jerusalem artichokes are typically planted in the spring.,Jerusalem artichokes are typically harvested in the fall after the foliage has died back.,"Jerusalem artichokes prefer cool, temperate climates with consistent moisture."
Kohlrabi,Kohlrabi prefers consistently moist soil.,Kohlrabi requires a moderate amount of nitrogen.,"Kohlrabi prefers loose, well-drained soil.","Kohlrabi prefers fertile, well-drained soil with a pH of 6.0-7.5.",Kohlrabi prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Kohlrabi is typically planted in the spring or fall.,Kohlrabi is typically harvested when the bulb is 3-4 inches in diameter.,"Kohlrabi prefers cool, temperate climates with consistent moisture."
Sweet corn,"Sweet corn prefers consistent soil moisture, but can tolerate drought.",Sweet corn requires a high amount of nitrogen.,"Sweet corn prefers well-drained, loose soil.","Sweet corn prefers well-drained, fertile soil.",Sweet corn prefers warm soil temperatures between 60-85F (15-29C) for optimal growth.,Sweet corn is typically planted in the spring after the last frost date.,Sweet corn is typically harvested when the kernels are plump and the silk is brown and dry.,"Sweet corn prefers warm, humid climates with consistent moisture."
Radicchio,"Radicchio prefers consistent soil moisture, but can tolerate drought.",Radicchio requires a moderate amount of nitrogen.,"Radicchio prefers well-drained, loose soil.","Radicchio prefers well-drained, fertile soil.",Radicchio prefers cool soil temperatures between 50-60F (10-15C) for optimal growth.,Radicchio is typically planted in the spring or fall.,Radicchio is typically harvested when the heads are mature and firm.,"Radicchio prefers cool, temperate climates with consistent moisture."
Fennel,"Fennel prefers consistent soil moisture, but can tolerate drought.",Fennel requires a moderate amount of nitrogen.,"Fennel prefers well-drained, loose soil.","Fennel prefers well-drained, fertile soil.",Fennel prefers warm soil temperatures between 60-70F (15-21C) for optimal growth.,Fennel is typically planted in the spring or fall.,Fennel is typically harvested when the bulbs are firm and 3-4 inches in diameter.,"Fennel prefers cool, temperate climates with consistent moisture."
Parsnips,"Parsnips prefer consistent soil moisture, but can tolerate drought.",Parsnips require a moderate amount of nitrogen.,"Parsnips prefer well-drained, loose soil.","Parsnips prefer well-drained, fertile soil.",Parsnips prefer cool soil temperatures between 50-60F (10-15C) for optimal growth.,Parsnips are typically planted in the spring for fall harvest.,"Parsnips are typically harvested after the first frost, when the roots have reached their full size.","Parsnips prefer cool, temperate climates with consistent moisture."
Rutabagas,"Rutabagas prefer consistent soil moisture, but can tolerate drought.",Rutabagas require a moderate amount of nitrogen.,"Rutabagas prefer well-drained, loose soil.","Rutabagas prefer well-drained, fertile soil.",Rutabagas prefer cool soil temperatures between 50-60F (10-15C) for optimal growth.,Rutabagas are typically planted in the spring for fall harvest.,"Rutabagas are typically harvested after the first frost, when the roots have reached their full size.","Rutabagas prefer cool, temperate climates with consistent moisture."
Watercress,Watercress prefers consistently moist soil.,Watercress requires a moderate amount of nitrogen.,"Watercress prefers loose, well-drained soil.","Watercress prefers fertile, well-drained soil with a pH of 6.0-7.5.",Watercress prefers cool soil temperatures between 55-65F (13-18C) for optimal growth.,Watercress is typically planted in the spring or fall.,Watercress is typically harvested when the leaves are young and tender.,"Watercress prefers cool, temperate climates with consistent moisture."
